Protein Accession	DNA Accession	ARO Category Name	ARO Accession
ABS71123.1	EU029998	antibiotic inactivation enzyme	ARO:3000557
ABS71123.1	EU029998	beta-lactam resistance gene	ARO:3000129
ABW95047.1	EU220744	antibiotic inactivation enzyme	ARO:3000557
ABW95047.1	EU220744	beta-lactam resistance gene	ARO:3000129
ABW95048.1	EU220745	antibiotic inactivation enzyme	ARO:3000557
ABW95048.1	EU220745	beta-lactam resistance gene	ARO:3000129
AAK55330.1	AF371964	antibiotic inactivation enzyme	ARO:3000557
AAK55330.1	AF371964	beta-lactam resistance gene	ARO:3000129
AAN41427.1	AY139598	antibiotic inactivation enzyme	ARO:3000557
AAN41427.1	AY139598	beta-lactam resistance gene	ARO:3000129
AAA83417.1	U10251	antibiotic inactivation enzyme	ARO:3000557
AAA83417.1	U10251	beta-lactam resistance gene	ARO:3000129
CCJ32595.1	HE963768	antibiotic inactivation enzyme	ARO:3000557
CCJ32595.1	HE963768	beta-lactam resistance gene	ARO:3000129
AGU69248.1	KF057027	antibiotic inactivation enzyme	ARO:3000557
AGU69248.1	KF057027	beta-lactam resistance gene	ARO:3000129
ABY77907.1	EU375515	antibiotic inactivation enzyme	ARO:3000557
ABY77907.1	EU375515	beta-lactam resistance gene	ARO:3000129
CAP69660.1	AM932669	antibiotic inactivation enzyme	ARO:3000557
CAP69660.1	AM932669	beta-lactam resistance gene	ARO:3000129
AAC46344.1	U59183	antibiotic inactivation enzyme	ARO:3000557
AAC46344.1	U59183	beta-lactam resistance gene	ARO:3000129
ACD84988.1	EU547445	antibiotic inactivation enzyme	ARO:3000557
ACD84988.1	EU547445	beta-lactam resistance gene	ARO:3000129
ACD84989.1	EU547446	antibiotic inactivation enzyme	ARO:3000557
ACD84989.1	EU547446	beta-lactam resistance gene	ARO:3000129
ACD84990.1	EU547447	antibiotic inactivation enzyme	ARO:3000557
ACD84990.1	EU547447	beta-lactam resistance gene	ARO:3000129
ACE63186.1	EU571228	antibiotic inactivation enzyme	ARO:3000557
ACE63186.1	EU571228	beta-lactam resistance gene	ARO:3000129
ADM47435.1	HQ122933	antibiotic inactivation enzyme	ARO:3000557
ADM47435.1	HQ122933	beta-lactam resistance gene	ARO:3000129
ABW76134.1	EU086830	antibiotic inactivation enzyme	ARO:3000557
ABW76134.1	EU086830	beta-lactam resistance gene	ARO:3000129
ABW76138.1	EU086834	antibiotic inactivation enzyme	ARO:3000557
ABW76138.1	EU086834	beta-lactam resistance gene	ARO:3000129
ACD45467.1	EU670845	antibiotic inactivation enzyme	ARO:3000557
ACD45467.1	EU670845	beta-lactam resistance gene	ARO:3000129
CAQ51348.1	AM991978	antibiotic inactivation enzyme	ARO:3000557
CAQ51348.1	AM991978	beta-lactam resistance gene	ARO:3000129
AAA93528.1	L38523	antibiotic inactivation enzyme	ARO:3000557
AAA93528.1	L38523	beta-lactam resistance gene	ARO:3000129
ABQ15112.1	EF552405	antibiotic inactivation enzyme	ARO:3000557
ABQ15112.1	EF552405	beta-lactam resistance gene	ARO:3000129
ABY79006.1	EU358785	antibiotic inactivation enzyme	ARO:3000557
ABY79006.1	EU358785	beta-lactam resistance gene	ARO:3000129
ACX70402.1	GQ861437	antibiotic inactivation enzyme	ARO:3000557
ACX70402.1	GQ861437	beta-lactam resistance gene	ARO:3000129
ACY56711.1	FJ872530	antibiotic inactivation enzyme	ARO:3000557
ACY56711.1	FJ872530	beta-lactam resistance gene	ARO:3000129
ACN85419.1	FJ790516	antibiotic inactivation enzyme	ARO:3000557
ACN85419.1	FJ790516	beta-lactam resistance gene	ARO:3000129
ACI28281.1	FJ194494	antibiotic inactivation enzyme	ARO:3000557
ACI28281.1	FJ194494	beta-lactam resistance gene	ARO:3000129
ACO72579.1	FJ848783	antibiotic inactivation enzyme	ARO:3000557
ACO72579.1	FJ848783	beta-lactam resistance gene	ARO:3000129
ACX31140.1	GQ853679	antibiotic inactivation enzyme	ARO:3000557
ACX31140.1	GQ853679	beta-lactam resistance gene	ARO:3000129
ACX31141.1	GQ853680	antibiotic inactivation enzyme	ARO:3000557
ACX31141.1	GQ853680	beta-lactam resistance gene	ARO:3000129
AAB05874.1	U63835	antibiotic inactivation enzyme	ARO:3000557
AAB05874.1	U63835	beta-lactam resistance gene	ARO:3000129
ACX31142.1	GQ853681	antibiotic inactivation enzyme	ARO:3000557
ACX31142.1	GQ853681	beta-lactam resistance gene	ARO:3000129
AAB97924.1	AF043100	antibiotic inactivation enzyme	ARO:3000557
AAB97924.1	AF043100	beta-lactam resistance gene	ARO:3000129
ADB28891.1	GU199038	antibiotic inactivation enzyme	ARO:3000557
ADB28891.1	GU199038	beta-lactam resistance gene	ARO:3000129
ACT09125.1	GQ202693	antibiotic inactivation enzyme	ARO:3000557
ACT09125.1	GQ202693	beta-lactam resistance gene	ARO:3000129
ADG27454.1	HM015773	antibiotic inactivation enzyme	ARO:3000557
ADG27454.1	HM015773	beta-lactam resistance gene	ARO:3000129
ADY06444.1	HQ700343	antibiotic inactivation enzyme	ARO:3000557
ADY06444.1	HQ700343	beta-lactam resistance gene	ARO:3000129
ADK34116.1	GU831575	antibiotic inactivation enzyme	ARO:3000557
ADK34116.1	GU831575	beta-lactam resistance gene	ARO:3000129
ADK35869.1	HM488986	antibiotic inactivation enzyme	ARO:3000557
ADK35869.1	HM488986	beta-lactam resistance gene	ARO:3000129
ADK35870.1	HM488987	antibiotic inactivation enzyme	ARO:3000557
ADK35870.1	HM488987	beta-lactam resistance gene	ARO:3000129
ADK35871.1	HM488988	antibiotic inactivation enzyme	ARO:3000557
ADK35871.1	HM488988	beta-lactam resistance gene	ARO:3000129
ADK35872.1	HM488989	antibiotic inactivation enzyme	ARO:3000557
ADK35872.1	HM488989	beta-lactam resistance gene	ARO:3000129
ADK35873.1	HM488990	antibiotic inactivation enzyme	ARO:3000557
ADK35873.1	HM488990	beta-lactam resistance gene	ARO:3000129
AAC15074.1	AF060206	antibiotic inactivation enzyme	ARO:3000557
AAC15074.1	AF060206	beta-lactam resistance gene	ARO:3000129
ADK35874.1	HM488991	antibiotic inactivation enzyme	ARO:3000557
ADK35874.1	HM488991	beta-lactam resistance gene	ARO:3000129
ADK35875.1	HM488992	antibiotic inactivation enzyme	ARO:3000557
ADK35875.1	HM488992	beta-lactam resistance gene	ARO:3000129
ADI58616.1	HM113558	antibiotic inactivation enzyme	ARO:3000557
ADI58616.1	HM113558	beta-lactam resistance gene	ARO:3000129
ADI58617.1	HM113559	antibiotic inactivation enzyme	ARO:3000557
ADI58617.1	HM113559	beta-lactam resistance gene	ARO:3000129
ADI58618.1	HM113560	antibiotic inactivation enzyme	ARO:3000557
ADI58618.1	HM113560	beta-lactam resistance gene	ARO:3000129
ADI58619.1	HM113561	antibiotic inactivation enzyme	ARO:3000557
ADI58619.1	HM113561	beta-lactam resistance gene	ARO:3000129
ADI58620.1	HM113562	antibiotic inactivation enzyme	ARO:3000557
ADI58620.1	HM113562	beta-lactam resistance gene	ARO:3000129
ADI58621.1	HM113563	antibiotic inactivation enzyme	ARO:3000557
ADI58621.1	HM113563	beta-lactam resistance gene	ARO:3000129
ADI58622.1	HM113564	antibiotic inactivation enzyme	ARO:3000557
ADI58622.1	HM113564	beta-lactam resistance gene	ARO:3000129
ADM26744.1	HM570035	antibiotic inactivation enzyme	ARO:3000557
ADM26744.1	HM570035	beta-lactam resistance gene	ARO:3000129
AAB58555.1	U85514	antibiotic inactivation enzyme	ARO:3000557
AAB58555.1	U85514	beta-lactam resistance gene	ARO:3000129
ADM26745.1	HM570036	antibiotic inactivation enzyme	ARO:3000557
ADM26745.1	HM570036	beta-lactam resistance gene	ARO:3000129
AEP16366.1	JN205800	antibiotic inactivation enzyme	ARO:3000557
AEP16366.1	JN205800	beta-lactam resistance gene	ARO:3000129
ADK92148.1	HM640278	antibiotic inactivation enzyme	ARO:3000557
ADK92148.1	HM640278	beta-lactam resistance gene	ARO:3000129
ADV41666.1	HQ111474	antibiotic inactivation enzyme	ARO:3000557
ADV41666.1	HQ111474	beta-lactam resistance gene	ARO:3000129
AFO09968.1	JQ396378	antibiotic inactivation enzyme	ARO:3000557
AFO09968.1	JQ396378	beta-lactam resistance gene	ARO:3000129
AAD02245.1	AF043381	antibiotic inactivation enzyme	ARO:3000557
AAD02245.1	AF043381	beta-lactam resistance gene	ARO:3000129
ADZ54048.1	JF273470	antibiotic inactivation enzyme	ARO:3000557
ADZ54048.1	JF273470	beta-lactam resistance gene	ARO:3000129
AEB98920.1	HQ425492	antibiotic inactivation enzyme	ARO:3000557
AEB98920.1	HQ425492	beta-lactam resistance gene	ARO:3000129
AEB98921.1	HQ425493	antibiotic inactivation enzyme	ARO:3000557
AEB98921.1	HQ425493	beta-lactam resistance gene	ARO:3000129
AEB98922.1	HQ425494	antibiotic inactivation enzyme	ARO:3000557
AEB98922.1	HQ425494	beta-lactam resistance gene	ARO:3000129
AEB98923.1	HQ425495	antibiotic inactivation enzyme	ARO:3000557
AEB98923.1	HQ425495	beta-lactam resistance gene	ARO:3000129
ADT70779.1	HQ634775	antibiotic inactivation enzyme	ARO:3000557
ADT70779.1	HQ634775	beta-lactam resistance gene	ARO:3000129
AFC95894.1	JN704570	antibiotic inactivation enzyme	ARO:3000557
AFC95894.1	JN704570	beta-lactam resistance gene	ARO:3000129
AAB59082.1	M95287.4	antibiotic inactivation enzyme	ARO:3000557
AAB59082.1	M95287.4	beta-lactam resistance gene	ARO:3000129
YP_001844885.1	NC_010611	antibiotic inactivation enzyme	ARO:3000557
YP_001844885.1	NC_010611	beta-lactam resistance gene	ARO:3000129
ADX07745.1	HQ734811	antibiotic inactivation enzyme	ARO:3000557
ADX07745.1	HQ734811	beta-lactam resistance gene	ARO:3000129
ADX07746.1	HQ734812	antibiotic inactivation enzyme	ARO:3000557
ADX07746.1	HQ734812	beta-lactam resistance gene	ARO:3000129
ADX07747.1	HQ734813	antibiotic inactivation enzyme	ARO:3000557
ADX07747.1	HQ734813	beta-lactam resistance gene	ARO:3000129
ADX07748.1	HQ998857	antibiotic inactivation enzyme	ARO:3000557
ADX07748.1	HQ998857	beta-lactam resistance gene	ARO:3000129
AFU91598.1	JQ809466	antibiotic inactivation enzyme	ARO:3000557
AFU91598.1	JQ809466	beta-lactam resistance gene	ARO:3000129
AEO92079.1	JF800667	antibiotic inactivation enzyme	ARO:3000557
AEO92079.1	JF800667	beta-lactam resistance gene	ARO:3000129
BAL15076.1	AB634250	antibiotic inactivation enzyme	ARO:3000557
BAL15076.1	AB634250	beta-lactam resistance gene	ARO:3000129
AFK28473.1	JQ838185	antibiotic inactivation enzyme	ARO:3000557
AFK28473.1	JQ838185	beta-lactam resistance gene	ARO:3000129
CCA94644.1	FR853176	antibiotic inactivation enzyme	ARO:3000557
CCA94644.1	FR853176	beta-lactam resistance gene	ARO:3000129
AEM66528.1	JF268688	antibiotic inactivation enzyme	ARO:3000557
AEM66528.1	JF268688	beta-lactam resistance gene	ARO:3000129
CAA71699.2	Y10693	antibiotic inactivation enzyme	ARO:3000557
CAA71699.2	Y10693	beta-lactam resistance gene	ARO:3000129
AEE61368.1	JF795487	antibiotic inactivation enzyme	ARO:3000557
AEE61368.1	JF795487	beta-lactam resistance gene	ARO:3000129
AEV91550.1	JN861779	antibiotic inactivation enzyme	ARO:3000557
AEV91550.1	JN861779	beta-lactam resistance gene	ARO:3000129
AEV91551.1	JN861780	antibiotic inactivation enzyme	ARO:3000557
AEV91551.1	JN861780	beta-lactam resistance gene	ARO:3000129
AEV91552.1	JN861781	antibiotic inactivation enzyme	ARO:3000557
AEV91552.1	JN861781	beta-lactam resistance gene	ARO:3000129
AEV91553.1	JN861782	antibiotic inactivation enzyme	ARO:3000557
AEV91553.1	JN861782	beta-lactam resistance gene	ARO:3000129
AEV91554.1	JN861783	antibiotic inactivation enzyme	ARO:3000557
AEV91554.1	JN861783	beta-lactam resistance gene	ARO:3000129
CCA94649.1	FR865168	antibiotic inactivation enzyme	ARO:3000557
CCA94649.1	FR865168	beta-lactam resistance gene	ARO:3000129
AEO44980.1	JN603240	antibiotic inactivation enzyme	ARO:3000557
AEO44980.1	JN603240	beta-lactam resistance gene	ARO:3000129
AEL17179.1	JN215211	antibiotic inactivation enzyme	ARO:3000557
AEL17179.1	JN215211	beta-lactam resistance gene	ARO:3000129
AAD12233.1	AF064820	antibiotic inactivation enzyme	ARO:3000557
AAD12233.1	AF064820	beta-lactam resistance gene	ARO:3000129
AEL88491.1	JN248564	antibiotic inactivation enzyme	ARO:3000557
AEL88491.1	JN248564	beta-lactam resistance gene	ARO:3000129
AEQ73521.1	JN596991	antibiotic inactivation enzyme	ARO:3000557
AEQ73521.1	JN596991	beta-lactam resistance gene	ARO:3000129
AEP43731.1	JN638887	antibiotic inactivation enzyme	ARO:3000557
AEP43731.1	JN638887	beta-lactam resistance gene	ARO:3000129
ACM67635.1	FJ617207	antibiotic inactivation enzyme	ARO:3000557
ACM67635.1	FJ617207	beta-lactam resistance gene	ARO:3000129
AFM55001.1	JQ422053	antibiotic inactivation enzyme	ARO:3000557
AFM55001.1	JQ422053	beta-lactam resistance gene	ARO:3000129
AFM55000.1	JQ422052	antibiotic inactivation enzyme	ARO:3000557
AFM55000.1	JQ422052	beta-lactam resistance gene	ARO:3000129
AAV65289.1	AY795964	antibiotic inactivation enzyme	ARO:3000557
AAV65289.1	AY795964	beta-lactam resistance gene	ARO:3000129
AFM55002.1	JQ422054	antibiotic inactivation enzyme	ARO:3000557
AFM55002.1	JQ422054	beta-lactam resistance gene	ARO:3000129
AFG29918.1	JQ326200	antibiotic inactivation enzyme	ARO:3000557
AFG29918.1	JQ326200	beta-lactam resistance gene	ARO:3000129
AGD91915.1	JX423831	antibiotic inactivation enzyme	ARO:3000557
AGD91915.1	JX423831	beta-lactam resistance gene	ARO:3000129
AID67109.1	KJ657570	antibiotic inactivation enzyme	ARO:3000557
AID67109.1	KJ657570	beta-lactam resistance gene	ARO:3000129
AFH36330.1	JQ820240	antibiotic inactivation enzyme	ARO:3000557
AFH36330.1	JQ820240	beta-lactam resistance gene	ARO:3000129
AFH36332.1	JQ820242	antibiotic inactivation enzyme	ARO:3000557
AFH36332.1	JQ820242	beta-lactam resistance gene	ARO:3000129
AFH36331.1	JQ820241	antibiotic inactivation enzyme	ARO:3000557
AFH36331.1	JQ820241	beta-lactam resistance gene	ARO:3000129
AFN65709.1	JQ837239	antibiotic inactivation enzyme	ARO:3000557
AFN65709.1	JQ837239	beta-lactam resistance gene	ARO:3000129
AAM34291.1	AF509241	antibiotic inactivation enzyme	ARO:3000557
AAM34291.1	AF509241	beta-lactam resistance gene	ARO:3000129
AFN20670.1	JX089628	antibiotic inactivation enzyme	ARO:3000557
AFN20670.1	JX089628	beta-lactam resistance gene	ARO:3000129
AFO55201.1	JX025021	antibiotic inactivation enzyme	ARO:3000557
AFO55201.1	JX025021	beta-lactam resistance gene	ARO:3000129
AFO55202.1	JX025022	antibiotic inactivation enzyme	ARO:3000557
AFO55202.1	JX025022	beta-lactam resistance gene	ARO:3000129
AFQ90085.1	JX206446	antibiotic inactivation enzyme	ARO:3000557
AFQ90085.1	JX206446	beta-lactam resistance gene	ARO:3000129
AGC60012.1	JX438000	antibiotic inactivation enzyme	ARO:3000557
AGC60012.1	JX438000	beta-lactam resistance gene	ARO:3000129
AGC60013.1	JX438001	antibiotic inactivation enzyme	ARO:3000557
AGC60013.1	JX438001	beta-lactam resistance gene	ARO:3000129
AHC31001.1	KF711993	antibiotic inactivation enzyme	ARO:3000557
AHC31001.1	KF711993	beta-lactam resistance gene	ARO:3000129
AGC70814.1	JX893517	antibiotic inactivation enzyme	ARO:3000557
AGC70814.1	JX893517	beta-lactam resistance gene	ARO:3000129
CCJ32596.1	HE963769	antibiotic inactivation enzyme	ARO:3000557
CCJ32596.1	HE963769	beta-lactam resistance gene	ARO:3000129
CCJ32597.1	HE963770	antibiotic inactivation enzyme	ARO:3000557
CCJ32597.1	HE963770	beta-lactam resistance gene	ARO:3000129
AAG35607.1	AF201826	antibiotic inactivation enzyme	ARO:3000557
AAG35607.1	AF201826	beta-lactam resistance gene	ARO:3000129
CCJ32598.1	HE963771	antibiotic inactivation enzyme	ARO:3000557
CCJ32598.1	HE963771	beta-lactam resistance gene	ARO:3000129
AER57903.1	JN118546	antibiotic inactivation enzyme	ARO:3000557
AER57903.1	JN118546	beta-lactam resistance gene	ARO:3000129
AGK07368.1	KC479324	antibiotic inactivation enzyme	ARO:3000557
AGK07368.1	KC479324	beta-lactam resistance gene	ARO:3000129
BAN10684.1	AB781687	antibiotic inactivation enzyme	ARO:3000557
BAN10684.1	AB781687	beta-lactam resistance gene	ARO:3000129
AGK07369.1	KC479325	antibiotic inactivation enzyme	ARO:3000557
AGK07369.1	KC479325	beta-lactam resistance gene	ARO:3000129
CCE94500.1	HE616889	antibiotic inactivation enzyme	ARO:3000557
CCE94500.1	HE616889	beta-lactam resistance gene	ARO:3000129
AGK07370.1	KC567681	antibiotic inactivation enzyme	ARO:3000557
AGK07370.1	KC567681	beta-lactam resistance gene	ARO:3000129
CCE73593.2	HE614014	antibiotic inactivation enzyme	ARO:3000557
CCE73593.2	HE614014	beta-lactam resistance gene	ARO:3000129
AAG35608.1	AF201827	antibiotic inactivation enzyme	ARO:3000557
AAG35608.1	AF201827	beta-lactam resistance gene	ARO:3000129
AAG35609.1	AF201828	antibiotic inactivation enzyme	ARO:3000557
AAG35609.1	AF201828	beta-lactam resistance gene	ARO:3000129
AGI65307.1	KC771279	antibiotic inactivation enzyme	ARO:3000557
AGI65307.1	KC771279	beta-lactam resistance gene	ARO:3000129
AAF72942.1	AF231133	antibiotic inactivation enzyme	ARO:3000557
AAF72942.1	AF231133	beta-lactam resistance gene	ARO:3000129
CAC35728.1	AJ400619	antibiotic inactivation enzyme	ARO:3000557
CAC35728.1	AJ400619	beta-lactam resistance gene	ARO:3000129
AAC41449.1	L07945	antibiotic inactivation enzyme	ARO:3000557
AAC41449.1	L07945	beta-lactam resistance gene	ARO:3000129
CCW28916.1	HF947514	antibiotic inactivation enzyme	ARO:3000557
CCW28916.1	HF947514	beta-lactam resistance gene	ARO:3000129
AAK52604.1	AF294653	antibiotic inactivation enzyme	ARO:3000557
AAK52604.1	AF294653	beta-lactam resistance gene	ARO:3000129
AGU69250.1	KF057029	antibiotic inactivation enzyme	ARO:3000557
AGU69250.1	KF057029	beta-lactam resistance gene	ARO:3000129
AGU69251.1	KF057030	antibiotic inactivation enzyme	ARO:3000557
AGU69251.1	KF057030	beta-lactam resistance gene	ARO:3000129
AGU69252.1	KF057031	antibiotic inactivation enzyme	ARO:3000557
AGU69252.1	KF057031	beta-lactam resistance gene	ARO:3000129
AGU69253.1	KF057032	antibiotic inactivation enzyme	ARO:3000557
AGU69253.1	KF057032	beta-lactam resistance gene	ARO:3000129
AGU69254.1	KF057033	antibiotic inactivation enzyme	ARO:3000557
AGU69254.1	KF057033	beta-lactam resistance gene	ARO:3000129
AGU69255.1	KF057034	antibiotic inactivation enzyme	ARO:3000557
AGU69255.1	KF057034	beta-lactam resistance gene	ARO:3000129
AAK58418.1	AF315351	antibiotic inactivation enzyme	ARO:3000557
AAK58418.1	AF315351	beta-lactam resistance gene	ARO:3000129
AGR55864.1	KF151169	antibiotic inactivation enzyme	ARO:3000557
AGR55864.1	KF151169	beta-lactam resistance gene	ARO:3000129
AGW16404.1	KF203096	antibiotic inactivation enzyme	ARO:3000557
AGW16404.1	KF203096	beta-lactam resistance gene	ARO:3000129
AGW16405.1	KF203097	antibiotic inactivation enzyme	ARO:3000557
AGW16405.1	KF203097	beta-lactam resistance gene	ARO:3000129
AGW16406.1	KF203098	antibiotic inactivation enzyme	ARO:3000557
AGW16406.1	KF203098	beta-lactam resistance gene	ARO:3000129
AGW16407.1	KF203099	antibiotic inactivation enzyme	ARO:3000557
AGW16407.1	KF203099	beta-lactam resistance gene	ARO:3000129
AGW16408.1	KF203100	antibiotic inactivation enzyme	ARO:3000557
AGW16408.1	KF203100	beta-lactam resistance gene	ARO:3000129
AGW16409.1	KF203101	antibiotic inactivation enzyme	ARO:3000557
AGW16409.1	KF203101	beta-lactam resistance gene	ARO:3000129
AGW16410.1	KF203102	antibiotic inactivation enzyme	ARO:3000557
AGW16410.1	KF203102	beta-lactam resistance gene	ARO:3000129
AGW16411.1	KF203103	antibiotic inactivation enzyme	ARO:3000557
AGW16411.1	KF203103	beta-lactam resistance gene	ARO:3000129
AAG23871.1	AY008291	antibiotic inactivation enzyme	ARO:3000557
AAG23871.1	AY008291	beta-lactam resistance gene	ARO:3000129
AGW16412.1	KF203104	antibiotic inactivation enzyme	ARO:3000557
AGW16412.1	KF203104	beta-lactam resistance gene	ARO:3000129
AGW16413.1	KF203105	antibiotic inactivation enzyme	ARO:3000557
AGW16413.1	KF203105	beta-lactam resistance gene	ARO:3000129
AGW16414.1	KF203106	antibiotic inactivation enzyme	ARO:3000557
AGW16414.1	KF203106	beta-lactam resistance gene	ARO:3000129
AGW16415.1	KF203107	antibiotic inactivation enzyme	ARO:3000557
AGW16415.1	KF203107	beta-lactam resistance gene	ARO:3000129
AGW16416.1	KF203108	antibiotic inactivation enzyme	ARO:3000557
AGW16416.1	KF203108	beta-lactam resistance gene	ARO:3000129
AGW16417.1	KF203109	antibiotic inactivation enzyme	ARO:3000557
AGW16417.1	KF203109	beta-lactam resistance gene	ARO:3000129
AHN07454.1	KF048909	antibiotic inactivation enzyme	ARO:3000557
AHN07454.1	KF048909	beta-lactam resistance gene	ARO:3000129
AAK15582.1	AF350424	antibiotic inactivation enzyme	ARO:3000557
AAK15582.1	AF350424	beta-lactam resistance gene	ARO:3000129
AET35493.1	JN086160	antibiotic inactivation enzyme	ARO:3000557
AET35493.1	JN086160	beta-lactam resistance gene	ARO:3000129
AGW83446.1	KF297577	antibiotic inactivation enzyme	ARO:3000557
AGW83446.1	KF297577	beta-lactam resistance gene	ARO:3000129
AGW83447.1	KF297578	antibiotic inactivation enzyme	ARO:3000557
AGW83447.1	KF297578	beta-lactam resistance gene	ARO:3000129
AAK49460.1	AF315786	antibiotic inactivation enzyme	ARO:3000557
AAK49460.1	AF315786	beta-lactam resistance gene	ARO:3000129
AGW83448.1	KF297579	antibiotic inactivation enzyme	ARO:3000557
AGW83448.1	KF297579	beta-lactam resistance gene	ARO:3000129
AGW83449.1	KF297580	antibiotic inactivation enzyme	ARO:3000557
AGW83449.1	KF297580	beta-lactam resistance gene	ARO:3000129
AGW83450.1	KF297581	antibiotic inactivation enzyme	ARO:3000557
AGW83450.1	KF297581	beta-lactam resistance gene	ARO:3000129
AGW83451.1	KF297582	antibiotic inactivation enzyme	ARO:3000557
AGW83451.1	KF297582	beta-lactam resistance gene	ARO:3000129
AGW83452.1	KF297583	antibiotic inactivation enzyme	ARO:3000557
AGW83452.1	KF297583	beta-lactam resistance gene	ARO:3000129
AGW83453.1	KF297584	antibiotic inactivation enzyme	ARO:3000557
AGW83453.1	KF297584	beta-lactam resistance gene	ARO:3000129
AGW83454.1	KF297585	antibiotic inactivation enzyme	ARO:3000557
AGW83454.1	KF297585	beta-lactam resistance gene	ARO:3000129
AGZ83153.1	KF421160	antibiotic inactivation enzyme	ARO:3000557
AGZ83153.1	KF421160	beta-lactam resistance gene	ARO:3000129
AGZ83154.1	KF421161	antibiotic inactivation enzyme	ARO:3000557
AGZ83154.1	KF421161	beta-lactam resistance gene	ARO:3000129
AGZ83155.1	KF421162	antibiotic inactivation enzyme	ARO:3000557
AGZ83155.1	KF421162	beta-lactam resistance gene	ARO:3000129
AAG24866.1	AF300985	antibiotic inactivation enzyme	ARO:3000557
AAG24866.1	AF300985	beta-lactam resistance gene	ARO:3000129
AGZ83156.1	KF421163	antibiotic inactivation enzyme	ARO:3000557
AGZ83156.1	KF421163	beta-lactam resistance gene	ARO:3000129
AHA11124.1	KF460531	antibiotic inactivation enzyme	ARO:3000557
AHA11124.1	KF460531	beta-lactam resistance gene	ARO:3000129
AHA11125.1	KF460532	antibiotic inactivation enzyme	ARO:3000557
AHA11125.1	KF460532	beta-lactam resistance gene	ARO:3000129
AHA11126.1	KF460533	antibiotic inactivation enzyme	ARO:3000557
AHA11126.1	KF460533	beta-lactam resistance gene	ARO:3000129
AHI63011.1	KF885217	antibiotic inactivation enzyme	ARO:3000557
AHI63011.1	KF885217	beta-lactam resistance gene	ARO:3000129
AJO16038.1	KP050485	antibiotic inactivation enzyme	ARO:3000557
AJO16038.1	KP050485	beta-lactam resistance gene	ARO:3000129
AMB19637.1	KT736121.1	antibiotic inactivation enzyme	ARO:3000557
AMB19637.1	KT736121.1	beta-lactam resistance gene	ARO:3000129
AAG33665.1	AY007784	antibiotic inactivation enzyme	ARO:3000557
AAG33665.1	AY007784	beta-lactam resistance gene	ARO:3000129
AHF71363.1	KF900153	antibiotic inactivation enzyme	ARO:3000557
AHF71363.1	KF900153	beta-lactam resistance gene	ARO:3000129
BAO09635.1	AB871653	antibiotic inactivation enzyme	ARO:3000557
BAO09635.1	AB871653	beta-lactam resistance gene	ARO:3000129
AHL30274.1	KF986255	antibiotic inactivation enzyme	ARO:3000557
AHL30274.1	KF986255	beta-lactam resistance gene	ARO:3000129
AHL30275.1	KF986256	antibiotic inactivation enzyme	ARO:3000557
AHL30275.1	KF986256	beta-lactam resistance gene	ARO:3000129
AHL30276.1	KF986257	antibiotic inactivation enzyme	ARO:3000557
AHL30276.1	KF986257	beta-lactam resistance gene	ARO:3000129
AHL30277.1	KF986258	antibiotic inactivation enzyme	ARO:3000557
AHL30277.1	KF986258	beta-lactam resistance gene	ARO:3000129
AHL30278.1	KF986259	antibiotic inactivation enzyme	ARO:3000557
AHL30278.1	KF986259	beta-lactam resistance gene	ARO:3000129
AHL30279.1	KF986260	antibiotic inactivation enzyme	ARO:3000557
AHL30279.1	KF986260	beta-lactam resistance gene	ARO:3000129
AHL30280.1	KF986261	antibiotic inactivation enzyme	ARO:3000557
AHL30280.1	KF986261	beta-lactam resistance gene	ARO:3000129
AHL30285.1	KJ135344	antibiotic inactivation enzyme	ARO:3000557
AHL30285.1	KJ135344	beta-lactam resistance gene	ARO:3000129
AHL30286.1	KJ135345	antibiotic inactivation enzyme	ARO:3000557
AHL30286.1	KJ135345	beta-lactam resistance gene	ARO:3000129
AHL30281.1	KF986262	antibiotic inactivation enzyme	ARO:3000557
AHL30281.1	KF986262	beta-lactam resistance gene	ARO:3000129
AHL30282.1	KF986263	antibiotic inactivation enzyme	ARO:3000557
AHL30282.1	KF986263	beta-lactam resistance gene	ARO:3000129
AHL30272.1	KF986253	antibiotic inactivation enzyme	ARO:3000557
AHL30272.1	KF986253	beta-lactam resistance gene	ARO:3000129
AHL30273.1	KF986254	antibiotic inactivation enzyme	ARO:3000557
AHL30273.1	KF986254	beta-lactam resistance gene	ARO:3000129
AHK51384.1	KJ173478	antibiotic inactivation enzyme	ARO:3000557
AHK51384.1	KJ173478	beta-lactam resistance gene	ARO:3000129
AHL30284.1	KJ135343	antibiotic inactivation enzyme	ARO:3000557
AHL30284.1	KJ135343	beta-lactam resistance gene	ARO:3000129
AHL30287.1	KJ135346	antibiotic inactivation enzyme	ARO:3000557
AHL30287.1	KJ135346	beta-lactam resistance gene	ARO:3000129
AHL30283.1	KJ135342	antibiotic inactivation enzyme	ARO:3000557
AHL30283.1	KJ135342	beta-lactam resistance gene	ARO:3000129
AHN53381.1	KJ427797	antibiotic inactivation enzyme	ARO:3000557
AHN53381.1	KJ427797	beta-lactam resistance gene	ARO:3000129
AIT76118.1	KM087865	antibiotic inactivation enzyme	ARO:3000557
AIT76118.1	KM087865	beta-lactam resistance gene	ARO:3000129
AIT76095.1	KM087842	antibiotic inactivation enzyme	ARO:3000557
